Nationality,Country,Codes
Algerian,Algeria,ALG
Australian,Australia,AUS
Austrian,Austria,AUT
Bahamian,Bahamas,BAH
Bahraini,Bahrain,BRN
Barbadian,Barbados,BAR
Belarusian,Belarus,BLR
Belgian,Belgium,BEL
"Motswana, Botswanan",Botswana,BOT
Brazilian,Brazil,BRA
Bulgarian,Bulgaria,BUL
Burkinabé,Burkina Faso,BUR
Burundian,Burundi,BDI
Canadian,Canada,CAN
Colombian,Colombia,COL
Croatian,Croatia,CRO
Cuban,Cuba,CUB
Czech,Czech Republic,CZE
Danish,Denmark,DEN
Dominican,Dominican Republic,DOM
Ecuadorian,Ecuador,ECU
Ethiopian,Ethiopia,ETH
Finnish,Finland,FIN
French,France,FRA
German,Germany,GER
"Greek, Hellenic",Greece,GRC
Grenadian,Grenada,GRN
"Hungarian, Magyar",Hungary,HUN
Indian,India,IND
Israeli,Israel,ISR
Italian,Italy,ITA
Jamaican,Jamaica,JAM
Japanese,Japan,JPN
"Kazakhstani, Kazakh",Kazakhstan,KAZ
Kenyan,Kenya,KEN
Lithuanian,Lithuania,LTU
Mexican,Mexico,MEX
Moroccan,Morocco,MAR
Namibian,Namibia,NAM
"Dutch, Netherlandic",Netherlands,NLD
"New Zealand, NZ",New Zealand,NZL
Nigerian,Nigeria,NGR
Norwegian,Norway,NOR
Pakistani,Pakistan,PAK
Peruvian,Peru,PER
"Philippine, Filipino",Philippines,PHI
Polish,Poland,POL
Portuguese,Portugal,POR
Puerto Rican,Puerto Rico,PUR
Qatari,Qatar,QAT
Romanian,Romania,ROU
Serbian,Serbia,SRB
"Slovenian, Slovene",Slovenia,SLO
South African,South Africa,RSA
Spanish,Spain,ESP
Swedish,Sweden,SWE
Tajikistani,Tajikistan,TJK
Turkish,Turkey,TUR
Ugandan,Uganda,UGA
Ukrainian,Ukraine,UKR
